1673549347.239352 client started (11692): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1673549347.239418 on Darwin 22.1.0 Darwin Kernel Version 22.1.0: Sun Oct  9 20:15:09 PDT 2022; root:xnu-8792.41.9~2/RELEASE_ARM64_T6000
1673549347.239433 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.3
1673549347.243400 sending message 200 to peer 0x138048000 (4 bytes)
1673549347.243405 client loop enter
1673549347.244909 peer 0x138048000 message 303
1673549347.244923 open write file 2 -
1673549347.244942 sending message 305 to peer 0x138048000 (8 bytes)
1673549347.244955 write check file 2
1673549347.245079 peer 0x138048000 message 304
1673549347.245087 write 58 to file 2
1673549347.245094 peer 0x138048000 message 203
1673549347.245099 file 2 58 bytes left
1673549347.245115 write check file 2
1673549347.245120 client loop exit
